Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10µF 50V,
C2,0805,1,1µF,
"C3, C4, C7",0603,3,100nF,
"C5, C6",0603,2,22pF,
C8,0603,1,10nF,
"H1, H2, H3, H4, H5",MountingHole_3.2mm_M3,5,MountingHole,
"J1, J2",TestPoint_THTPad_D3.0mm_Drill1.5mm,2,Conn_01x01,
"J3, J4, J5, J6, J8",Pads_3_2.5x2.5mm_5mmPitch,5,Conn_01x03,
J7,FFC_0527450697,1,FFC6,
"R1, R2, R3, R4, R5, R6",0603,6,10kΩ,
SW1,PEC12R-2220F-S0024,1,RotaryEncoder_Switch,
SW2,Pads_Dual_7x2mm_6.5mmPitch,1,KCD1-A,
U1,SOT-89-3,1,L78L05_SOT89,
U2,TQFP-32_7x7mm_P0.8mm,1,ATMEGA328P-AU,
Y1,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,1,16MHz 16pF,
