Designator,Mid X,Mid Y,Rotation,Layer
C1,66.3,-95.7,90.0,top
C2,58.7,-95.7,90.0,top
C3,54.7375,-75.95,180.0,top
C4,70.6375,-79.05,0.0,top
C5,70.6125,-77.26,180.0,top
C6,70.6125,-70.8,0.0,top
C7,54.7375,-77.8,180.0,top
C8,69.8,-98.9,180.0,top
J3,40.554915,-67.055283,72.0,top
J4,67.5,-47.5,180.0,top
J5,84.6,-67.1,108.0,top
J6,71.054915,-89.138927,36.0,top
J7,77.0,-101.75,90.0,top
J8,45.854915,-83.361074,324.0,top
R1,54.7375,-72.25,180.0,top
R2,54.7375,-70.4,180.0,top
R3,70.6,-67.0,0.0,top
R4,69.8,-101.3,180.0,top
R5,70.6,-68.9,0.0,top
R6,54.7375,-74.1,180.0,top
SW1,60.0,-106.5,0.0,top
SW2,48.0,-104.275,90.0,top
U1,62.5,-96.0,90.0,top
U2,62.5,-78.25,180.0,top
Y1,70.6125,-74.03,90.0,top
